# BLASTN 2.6.0+
# Query: KJ136019.1 Amaranthus hypochondriacus CYP76 mRNA, partial cds
# Database: Data/BLAST/ah_v2.1_db/Ahypochondriacus_459_v2.0.fa
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 126 hits found
KJ136019.1	Scaffold_16	98.543	755	11	0	1	755	5301624	5302378	0.0	1334
KJ136019.1	Scaffold_16	90.323	31	1	2	541	570	9033501	9033472	0.29	39.9
KJ136019.1	Scaffold_16	95.833	24	0	1	47	70	3753092	3753114	1.0	38.1
KJ136019.1	Scaffold_16	82.609	46	4	3	53	94	5432063	5432108	1.0	38.1
KJ136019.1	Scaffold_16	92.308	26	2	0	553	578	5894156	5894131	1.0	38.1
KJ136019.1	Scaffold_16	90.000	30	1	2	643	671	6746783	6746811	1.0	38.1
KJ136019.1	Scaffold_16	92.308	26	1	1	552	576	1556594	1556619	3.7	36.2
KJ136019.1	Scaffold_16	95.455	22	1	0	730	751	1607617	1607638	3.7	36.2
KJ136019.1	Scaffold_16	100.000	19	0	0	247	265	7134671	7134653	3.7	36.2
KJ136019.1	Scaffold_1	74.554	617	139	16	146	753	7526241	7525634	9.39e-66	254
KJ136019.1	Scaffold_1	72.066	605	155	12	99	695	37740664	37741262	3.50e-40	169
KJ136019.1	Scaffold_1	92.593	27	1	1	43	69	12048897	12048872	1.0	38.1
KJ136019.1	Scaffold_1	95.833	24	0	1	251	274	12394567	12394545	1.0	38.1
KJ136019.1	Scaffold_1	100.000	20	0	0	549	568	14483677	14483696	1.0	38.1
KJ136019.1	Scaffold_1	85.000	40	3	2	589	625	26681938	26681977	1.0	38.1
KJ136019.1	Scaffold_1	84.615	39	4	2	599	636	33335047	33335010	1.0	38.1
KJ136019.1	Scaffold_1	83.333	42	3	3	631	672	1577509	1577472	3.7	36.2
KJ136019.1	Scaffold_1	92.308	26	1	1	605	630	9409519	9409543	3.7	36.2
KJ136019.1	Scaffold_1	92.308	26	1	1	605	630	9415363	9415387	3.7	36.2
KJ136019.1	Scaffold_1	89.655	29	1	2	624	651	9617987	9617960	3.7	36.2
KJ136019.1	Scaffold_1	100.000	19	0	0	720	738	14017309	14017327	3.7	36.2
KJ136019.1	Scaffold_1	100.000	19	0	0	556	574	16809542	16809560	3.7	36.2
KJ136019.1	Scaffold_1	100.000	19	0	0	550	568	17967517	17967535	3.7	36.2
KJ136019.1	Scaffold_1	92.308	26	0	2	606	631	21937109	21937086	3.7	36.2
KJ136019.1	Scaffold_1	95.455	22	1	0	52	73	25349841	25349820	3.7	36.2
KJ136019.1	Scaffold_1	100.000	19	0	0	111	129	27702336	27702318	3.7	36.2
KJ136019.1	Scaffold_1	100.000	19	0	0	247	265	37732231	37732213	3.7	36.2
KJ136019.1	Scaffold_15	77.487	191	35	8	507	693	4248339	4248525	7.74e-22	108
KJ136019.1	Scaffold_15	76.963	191	36	8	507	693	4211450	4211636	3.60e-20	102
KJ136019.1	Scaffold_15	76.562	192	35	10	507	693	4219853	4220039	1.67e-18	97.1
KJ136019.1	Scaffold_15	74.576	177	35	10	507	678	4203230	4203401	3.65e-10	69.4
KJ136019.1	Scaffold_15	73.596	178	44	3	99	274	4211042	4211218	4.72e-09	65.8
KJ136019.1	Scaffold_15	80.702	57	11	0	625	681	4228375	4228319	0.006	45.4
KJ136019.1	Scaffold_15	81.481	54	10	0	217	270	4228783	4228730	0.006	45.4
